Posição,municipio,Estado,População,cidade,uf,pais
91º,Camaçari,Bahia,309 208,camacari,ba,Brasil
92º,Santarém,Pará,308 339,santarem,pa,Brasil
93º,Petrópolis,Rio de Janeiro,307 144,petropolis,rj,Brasil
94º,Mossoró,Rio Grande do Norte,303 792,mossoro,rn,Brasil
95º,Suzano,São Paulo,303 397,suzano,sp,Brasil
96º,Taboão da Serra,São Paulo,297 528,taboao-da-serra,sp,Brasil
97º,Várzea Grande,Mato Grosso,290 383,varzea-grande,mt,Brasil
98º,Sumaré,São Paulo,289 875,sumare,sp,Brasil
99º,Marabá,Pará,287 664,maraba,pa,Brasil
100º,Gravataí,Rio Grande do Sul,285 564,gravatai,rs,Brasil
101º,Santa Maria,Rio Grande do Sul,285 159,santa-maria,rs,Brasil
102º,Governador Valadares,Minas Gerais,282 164,governador-valadares,mg,Brasil
103º,Barueri,São Paulo,279 704,barueri,sp,Brasil
104º,Embu das Artes,São Paulo,279 264,embu-das-artes,sp,Brasil
105º,Juazeiro do Norte,Ceará,278 264,juazeiro-do-norte,ce,Brasil
106º,Volta Redonda,Rio de Janeiro,274 925,volta-redonda,rj,Brasil
107º,Parnamirim,Rio Grande do Norte,272 490,parnamirim,rn,Brasil
108º,Ipatinga,Minas Gerais,267 333,ipatinga,mg,Brasil
109º,Macaé,Rio de Janeiro,266 136,macae,rj,Brasil
110º,Indaiatuba,São Paulo,260 690,indaiatuba,sp,Brasil
111º,Imperatriz,Maranhão,259 980,imperatriz,ma,Brasil
112º,Foz do Iguaçu,Paraná,257 971,foz-do-iguacu,pr,Brasil
113º,Cotia,São Paulo,257 882,cotia,sp,Brasil
114º,Viamão,Rio Grande do Sul,257 330,viamao,rs,Brasil
115º,São Carlos,São Paulo,256 915,sao-carlos,sp,Brasil
116º,São José,Santa Catarina,253 705,sao-jose,sc,Brasil
117º,Colombo,Paraná,249 277,colombo,pr,Brasil
118º,Magé,Rio de Janeiro,247 741,mage,rj,Brasil
119º,Novo Hamburgo,Rio Grande do Sul,247 303,novo-hamburgo,rs,Brasil
120º,Rio Verde,Goiás,247 259,rio-verde,go,Brasil
121º,Itaboraí,Rio de Janeiro,244 416,itaborai,rj,Brasil
122º,Americana,São Paulo,244 370,americana,sp,Brasil
123º,Itapevi,São Paulo,244 131,itapevi,sp,Brasil
124º,Sete Lagoas,Minas Gerais,243 950,sete-lagoas,mg,Brasil
125º,Divinópolis,Minas Gerais,242 505,divinopolis,mg,Brasil
126º,Marília,São Paulo,242 249,marilia,sp,Brasil
127º,Araraquara,São Paulo,240 542,araraquara,sp,Brasil
128º,São Leopoldo,Rio Grande do Sul,240 378,sao-leopoldo,rs,Brasil
129º,Rondonópolis,Mato Grosso,239 613,rondonopolis,mt,Brasil
130º,Hortolândia,São Paulo,237 570,hortolandia,sp,Brasil
131º,Jacareí,São Paulo,237 119,jacarei,sp,Brasil
132º,Arapiraca,Alagoas,234 309,arapiraca,al,Brasil
133º,Cabo Frio,Rio de Janeiro,234 077,cabo-frio,rj,Brasil
134º,Presidente Prudente,São Paulo,231 953,presidente-prudente,sp,Brasil
135º,Maracanaú,Ceará,230 986,maracanau,ce,Brasil
136º,Dourados,Mato Grosso do Sul,227 990,dourados,ms,Brasil
137º,Chapecó,Santa Catarina,227 587,chapeco,sc,Brasil
138º,Itajaí,Santa Catarina,226 617,itajai,sc,Brasil
139º,Águas Lindas de Goiás,Goiás,222 850,aguas-lindas-de-goias,go,Brasil
140º,Santa Luzia,Minas Gerais,221 705,santa-luzia,mg,Brasil
141º,Juazeiro,Bahia,219 544,juazeiro,ba,Brasil
142º,Criciúma,Santa Catarina,219 393,criciuma,sc,Brasil
143º,Parauapebas,Pará,218 787,parauapebas,pa,Brasil
144º,Luziânia,Goiás,214 645,luziania,go,Brasil
145º,Itabuna,Bahia,214 123,itabuna,ba,Brasil
146º,Rio Grande,Rio Grande do Sul,212 881,rio-grande,rs,Brasil
147º,Sobral,Ceará,212 437,sobral,ce,Brasil
148º,Alvorada,Rio Grande do Sul,212 352,alvorada,rs,Brasil
149º,Cachoeiro de Itapemirim,Espírito Santo,212 172,cachoeiro-de-itapemirim,es,Brasil
150º,Cabo de Santo Agostinho,Pernambuco,210 796,cabo-de-santo-agostinho,pe,Brasil
151º,Angra dos Reis,Rio de Janeiro,210 171,angra-dos-reis,rj,Brasil
152º,Rio Claro,São Paulo,209 548,rio-claro,sp,Brasil
153º,Passo Fundo,Rio Grande do Sul,206 103,passo-fundo,rs,Brasil
154º,Castanhal,Pará,205 667,castanhal,pa,Brasil
155º,Lauro de Freitas,Bahia,204 669,lauro-de-freitas,ba,Brasil
156º,Araçatuba,São Paulo,199 210,aracatuba,sp,Brasil
157º,Ferraz de Vasconcelos,São Paulo,198 661,ferraz-de-vasconcelos,sp,Brasil
158º,Santa Bárbara d'Oeste,São Paulo,195 278,santa-barbara-d'oeste,sp,Brasil
159º,Nova Friburgo,Rio de Janeiro,191 664,nova-friburgo,rj,Brasil
160º,Nossa Senhora do Socorro,Sergipe,187 733,nossa-senhora-do-socorro,se,Brasil
161º,Araguaína,Tocantins,186 245,araguaina,to,Brasil
162º,Teresópolis,Rio de Janeiro,185 820,teresopolis,rj,Brasil
163º,Barra Mansa,Rio de Janeiro,185 237,barra-mansa,rj,Brasil
164º,Jaraguá do Sul,Santa Catarina,184 579,jaragua-do-sul,sc,Brasil
165º,Ibirité,Minas Gerais,184 030,ibirite,mg,Brasil
166º,Guarapuava,Paraná,183 755,guarapuava,pr,Brasil
167º,São José de Ribamar,Maranhão,180 345,sao-jose-de-ribamar,ma,Brasil
168º,Linhares,Espírito Santo,179 755,linhares,es,Brasil
169º,Itapecerica da Serra,São Paulo,179 574,itapecerica-da-serra,sp,Brasil
170º,Francisco Morato,São Paulo,179 372,francisco-morato,sp,Brasil
171º,Palhoça,Santa Catarina,178 679,palhoca,sc,Brasil
172º,Itu,São Paulo,177 150,itu,sp,Brasil
173º,Mesquita,Rio de Janeiro,177 016,mesquita,rj,Brasil
174º,Valparaíso de Goiás,Goiás,175 720,valparaiso-de-goias,go,Brasil
175º,Bragança Paulista,São Paulo,172 346,braganca-paulista,sp,Brasil
176º,Pindamonhangaba,São Paulo,171 885,pindamonhangaba,sp,Brasil
177º,Timon,Maranhão,171 317,timon,ma,Brasil
178º,Poços de Caldas,Minas Gerais,169 838,pocos-de-caldas,mg,Brasil
179º,Maricá,Rio de Janeiro,167 668,marica,rj,Brasil
180º,Itapetininga,São Paulo,167 106,itapetininga,sp,Brasil
181º,Caxias,Maranhão,166 159,caxias,ma,Brasil
182º,Teixeira de Freitas,Bahia,164 290,teixeira-de-freitas,ba,Brasil
183º,Nilópolis,Rio de Janeiro,162 893,nilopolis,rj,Brasil
184º,São Caetano do Sul,São Paulo,162 763,sao-caetano-do-sul,sp,Brasil
185º,Abaetetuba,Pará,160 439,abaetetuba,pa,Brasil
186º,Camaragibe,Pernambuco,159 945,camaragibe,pe,Brasil
187º,Rio das Ostras,Rio de Janeiro,159 529,rio-das-ostras,rj,Brasil
188º,Franco da Rocha,São Paulo,158 438,franco-da-rocha,sp,Brasil
189º,Barreiras,Bahia,158 432,barreiras,ba,Brasil
190º,Ilhéus,Bahia,157 639,ilheus,ba,Brasil
191º,Paranaguá,Paraná,157 378,paranagua,pr,Brasil
192º,Lages,Santa Catarina,157 158,lages,sc,Brasil
193º,Jequié,Bahia,156 277,jequie,ba,Brasil
194º,Patos de Minas,Minas Gerais,154 641,patos-de-minas,mg,Brasil
195º,Pouso Alegre,Minas Gerais,154 293,pouso-alegre,mg,Brasil
196º,Mogi Guaçu,São Paulo,154 146,mogi-guacu,sp,Brasil
197º,Parnaíba,Piauí,153 863,parnaiba,pi,Brasil
198º,Jaú,São Paulo,153 463,jau,sp,Brasil
199º,Alagoinhas,Bahia,153 023,alagoinhas,ba,Brasil
200º,Porto Seguro,Bahia,152 529,porto-seguro,ba,Brasil
201º,Queimados,Rio de Janeiro,152 311,queimados,rj,Brasil
202º,Botucatu,São Paulo,149 718,botucatu,sp,Brasil
203º,Balneário Camboriú,Santa Catarina,149 227,balneario-camboriu,sc,Brasil
204º,Sinop,Mato Grosso,148 960,sinop,mt,Brasil
205º,Araucária,Paraná,148 522,araucaria,pr,Brasil
206º,Atibaia,São Paulo,145 378,atibaia,sp,Brasil
207º,Santana de Parnaíba,São Paulo,145 073,santana-de-parnaiba,sp,Brasil
208º,Toledo,Paraná,144 601,toledo,pr,Brasil
209º,Sapucaia do Sul,Rio Grande do Sul,142 508,sapucaia-do-sul,rs,Brasil
210º,Garanhuns,Pernambuco,141 347,garanhuns,pe,Brasil
211º,Teófilo Otoni,Minas Gerais,141 269,teofilo-otoni,mg,Brasil
212º,Cametá,Pará,140 814,cameta,pa,Brasil
213º,Brusque,Santa Catarina,140 597,brusque,sc,Brasil
214º,Vitória de Santo Antão,Pernambuco,140 389,vitoria-de-santo-antao,pe,Brasil
215º,Barbacena,Minas Gerais,139 061,barbacena,mg,Brasil
216º,Santa Rita,Paraíba,138 093,santa-rita,pb,Brasil
217º,Sabará,Minas Gerais,137 877,sabara,mg,Brasil
218º,Varginha,Minas Gerais,137 608,varginha,mg,Brasil
219º,Apucarana,Paraná,137 438,apucarana,pr,Brasil
220º,Simões Filho,Bahia,137 117,simoes-filho,ba,Brasil
221º,Araras,São Paulo,136 739,araras,sp,Brasil
222º,Itaguaí,Rio de Janeiro,136 547,itaguai,rj,Brasil
223º,Araruama,Rio de Janeiro,136 109,araruama,rj,Brasil
224º,Marituba,Pará,135 812,marituba,pa,Brasil
225º,São Félix do Xingu,Pará,135 732,sao-felix-do-xingu,pa,Brasil
226º,Campo Largo,Paraná,135 678,campo-largo,pr,Brasil
227º,Pinhais,Paraná,134 788,pinhais,pr,Brasil
228º,São Mateus,Espírito Santo,134 629,sao-mateus,es,Brasil
229º,Crato,Ceará,133 913,crato,ce,Brasil
230º,Resende,Rio de Janeiro,133 244,resende,rj,Brasil
231º,Valinhos,São Paulo,133 169,valinhos,sp,Brasil
232º,Cubatão,São Paulo,132 521,cubatao,sp,Brasil
233º,Santa Cruz do Sul,Rio Grande do Sul,132 271,santa-cruz-do-sul,rs,Brasil
234º,Cachoeirinha,Rio Grande do Sul,132 144,cachoeirinha,rs,Brasil
235º,Trindade,Goiás,132 006,trindade,go,Brasil
236º,Vespasiano,Minas Gerais,131 849,vespasiano,mg,Brasil
237º,Itapipoca,Ceará,131 687,itapipoca,ce,Brasil
238º,Maranguape,Ceará,131 677,maranguape,ce,Brasil
239º,Ji-Paraná,Rondônia,131 026,ji-parana,ro,Brasil
240º,Conselheiro Lafaiete,Minas Gerais,130 584,conselheiro-lafaiete,mg,Brasil
241º,Bragança,Pará,130 122,braganca,pa,Brasil
242º,Barcarena,Pará,129 333,barcarena,pa,Brasil
243º,Guarapari,Espírito Santo,128 504,guarapari,es,Brasil
244º,Sertãozinho,São Paulo,128 432,sertaozinho,sp,Brasil
245º,Jandira,São Paulo,127 734,jandira,sp,Brasil
246º,Uruguaiana,Rio Grande do Sul,126 766,uruguaiana,rs,Brasil
247º,Arapongas,Paraná,126 545,arapongas,pr,Brasil
248º,Birigui,São Paulo,126 094,birigui,sp,Brasil
249º,Formosa,Goiás,125 705,formosa,go,Brasil
250º,Paço do Lumiar,Maranhão,125 265,paco-do-lumiar,ma,Brasil
251º,Ribeirão Pires,São Paulo,125 238,ribeirao-pires,sp,Brasil
252º,Caraguatatuba,São Paulo,125 194,caraguatatuba,sp,Brasil
253º,Três Lagoas,Mato Grosso do Sul,125 137,tres-lagoas,ms,Brasil
254º,Santana,Amapá,124 808,santana,ap,Brasil
255º,Votorantim,São Paulo,124 468,votorantim,sp,Brasil
256º,Colatina,Espírito Santo,124 283,colatina,es,Brasil
257º,Várzea Paulista,São Paulo,124 269,varzea-paulista,sp,Brasil
258º,Itatiba,São Paulo,124 254,itatiba,sp,Brasil
259º,Tatuí,São Paulo,124 134,tatui,sp,Brasil
260º,Barretos,São Paulo,123 546,barretos,sp,Brasil
261º,Codó,Maranhão,123 368,codo,ma,Brasil
262º,Guaratinguetá,São Paulo,123 192,guaratingueta,sp,Brasil
263º,Catanduva,São Paulo,123 114,catanduva,sp,Brasil
264º,Bento Gonçalves,Rio Grande do Sul,123 090,bento-goncalves,rs,Brasil
265º,Itabira,Minas Gerais,121 717,itabira,mg,Brasil
266º,Bagé,Rio Grande do Sul,121 518,bage,rs,Brasil
267º,Senador Canedo,Goiás,121 447,senador-canedo,go,Brasil
268º,Almirante Tamandaré,Paraná,121 420,almirante-tamandare,pr,Brasil
269º,Salto,São Paulo,120 779,salto,sp,Brasil
270º,Igarassu,Pernambuco,119 690,igarassu,pe,Brasil
271º,Novo Gama,Goiás,119 649,novo-gama,go,Brasil
272º,Poá,São Paulo,119 221,poa,sp,Brasil
273º,Paulo Afonso,Bahia,119 213,paulo-afonso,ba,Brasil
274º,Araguari,Minas Gerais,118 361,araguari,mg,Brasil
275º,Ubá,Minas Gerais,117 995,uba,mg,Brasil
276º,Altamira,Pará,117 320,altamira,pa,Brasil
277º,Piraquara,Paraná,116 852,piraquara,pr,Brasil
278º,Tucuruí,Pará,116 605,tucurui,pa,Brasil
279º,Parintins,Amazonas,116 439,parintins,am,Brasil
280º,Passos,Minas Gerais,115 970,passos,mg,Brasil
281º,Paragominas,Pará,115 838,paragominas,pa,Brasil
282º,Eunápolis,Bahia,115 360,eunapolis,ba,Brasil
283º,Ourinhos,São Paulo,115 139,ourinhos,sp,Brasil
284º,São Lourenço da Mata,Pernambuco,114 910,sao-lourenco-da-mata,pe,Brasil
285º,Paulínia,São Paulo,114 508,paulinia,sp,Brasil
286º,Açailândia,Maranhão,113 783,acailandia,ma,Brasil
287º,Umuarama,Paraná,113 416,umuarama,pr,Brasil
288º,Catalão,Goiás,113 091,catalao,go,Brasil
289º,Corumbá,Mato Grosso do Sul,112 669,corumba,ms,Brasil
290º,Santa Cruz do Capibaribe,Pernambuco,111 812,santa-cruz-do-capibaribe,pe,Brasil
291º,Tailândia,Pará,111 554,tailandia,pa,Brasil
292º,Ariquemes,Rondônia,111 148,ariquemes,ro,Brasil
293º,Coronel Fabriciano,Minas Gerais,110 709,coronel-fabriciano,mg,Brasil
294º,Muriaé,Minas Gerais,109 997,muriae,mg,Brasil
295º,Patos,Paraíba,108 766,patos,pb,Brasil
296º,Araxá,Minas Gerais,108 403,araxa,mg,Brasil
297º,Nova Serrana,Minas Gerais,108 241,nova-serrana,mg,Brasil
298º,Cambé,Paraná,108 126,cambe,pr,Brasil
299º,Tangará da Serra,Mato Grosso,107 631,tangara-da-serra,mt,Brasil
300º,São Pedro da Aldeia,Rio de Janeiro,107 556,sao-pedro-da-aldeia,rj,Brasil
301º,Erechim,Rio Grande do Sul,107 368,erechim,rs,Brasil
302º,Tubarão,Santa Catarina,107 143,tubarao,sc,Brasil
303º,Itumbiara,Goiás,106 845,itumbiara,go,Brasil
304º,Japeri,Rio de Janeiro,106 296,japeri,rj,Brasil
305º,Lagarto,Sergipe,106 015,lagarto,se,Brasil
306º,Ituiutaba,Minas Gerais,105 818,ituiutaba,mg,Brasil
307º,Assis,São Paulo,105 768,assis,sp,Brasil
308º,Lavras,Minas Gerais,105 756,lavras,mg,Brasil
309º,Leme,São Paulo,105 273,leme,sp,Brasil
310º,Bacabal,Maranhão,105 094,bacabal,ma,Brasil
311º,Aracruz,Espírito Santo,104 942,aracruz,es,Brasil
312º,São Gonçalo do Amarante,Rio Grande do Norte,104 919,sao-goncalo-do-amarante,rn,Brasil
