Posição,municipio,Estado,População,cidade,uf,pais
1572º,Monte Alegre,Rio Grande do Norte,22 698,monte-alegre,rn,Brasil
1573º,Rafael Jambeiro,Bahia,22 643,rafael-jambeiro,ba,Brasil
1574º,Caracaraí,Roraima,22 635,caracarai,rr,Brasil
1575º,Flores,Pernambuco,22 612,flores,pe,Brasil
1576º,Schroeder,Santa Catarina,22 605,schroeder,sc,Brasil
1577º,Teofilândia,Bahia,22 590,teofilandia,ba,Brasil
1578º,Hidrolândia,Goiás,22 533,hidrolandia,go,Brasil
1579º,Quaraí,Rio Grande do Sul,22 531,quarai,rs,Brasil
1580º,Chapada dos Guimarães,Mato Grosso,22 521,chapada-dos-guimaraes,mt,Brasil
1581º,Alta Floresta d'Oeste,Rondônia,22 516,alta-floresta-d'oeste,ro,Brasil
1582º,Alcobaça,Bahia,22 509,alcobaca,ba,Brasil
1583º,Areia,Paraíba,22 493,areia,pb,Brasil
1584º,Miguelópolis,São Paulo,22 480,miguelopolis,sp,Brasil
1585º,Itambé,Bahia,22 474,itambe,ba,Brasil
1586º,Mazagão,Amapá,22 468,mazagao,ap,Brasil
1587º,Porto Belo,Santa Catarina,22 466,porto-belo,sc,Brasil
1588º,São Vicente Ferrer,Maranhão,22 452,sao-vicente-ferrer,ma,Brasil
1589º,Itaparica,Bahia,22 440,itaparica,ba,Brasil
1590º,Quixeré,Ceará,22 432,quixere,ce,Brasil
1591º,Ceres,Goiás,22 407,ceres,go,Brasil
1592º,Bonito,Mato Grosso do Sul,22 401,bonito,ms,Brasil
1593º,Carira,Sergipe,22 393,carira,se,Brasil
1594º,Coração de Maria,Bahia,22 391,coracao-de-maria,ba,Brasil
1595º,Piúma,Espírito Santo,22 388,piuma,es,Brasil
1596º,Fundão,Espírito Santo,22 379,fundao,es,Brasil
1597º,Feira Nova,Pernambuco,22 360,feira-nova,pe,Brasil
1598º,Mutuípe,Bahia,22 340,mutuipe,ba,Brasil
1599º,Riachão das Neves,Bahia,22 330,riachao-das-neves,ba,Brasil
1600º,Pompeia,São Paulo,22 326,pompeia,sp,Brasil
1601º,Palmital,São Paulo,22 322,palmital,sp,Brasil
1602º,Diamantino,Mato Grosso,22 311,diamantino,mt,Brasil
1603º,Altônia,Paraná,22 293,altonia,pr,Brasil
1604º,Alto Paraíso,Rondônia,22 258,alto-paraiso,ro,Brasil
1605º,Santa Maria das Barreiras,Pará,22 244,santa-maria-das-barreiras,pa,Brasil
1606º,Pradópolis,São Paulo,22 239,pradopolis,sp,Brasil
1607º,Cantanhede,Maranhão,22 236,cantanhede,ma,Brasil
1608º,Trizidela do Vale,Maranhão,22 223,trizidela-do-vale,ma,Brasil
1609º,Uruburetama,Ceará,22 223,uruburetama,ce,Brasil
1610º,Parnamirim,Pernambuco,22 198,parnamirim,pe,Brasil
1611º,Feira Grande,Alagoas,22 192,feira-grande,al,Brasil
1612º,Caravelas,Bahia,22 166,caravelas,ba,Brasil
1613º,Cordeiro,Rio de Janeiro,22 152,cordeiro,rj,Brasil
1614º,Nova Hartz,Rio Grande do Sul,22 147,nova-hartz,rs,Brasil
1615º,Alcântara,Maranhão,22 126,alcantara,ma,Brasil
1616º,Goiás,Goiás,22 122,goias,go,Brasil
1617º,Anicuns,Goiás,22 113,anicuns,go,Brasil
1618º,Manari,Pernambuco,22 110,manari,pe,Brasil
1619º,Canarana,Mato Grosso,22 101,canarana,mt,Brasil
1620º,Guapiaçu,São Paulo,22 087,guapiacu,sp,Brasil
1621º,Caaporã,Paraíba,22 079,caapora,pb,Brasil
1622º,Cassilândia,Mato Grosso do Sul,22 063,cassilandia,ms,Brasil
1623º,Centro Novo do Maranhão,Maranhão,22 056,centro-novo-do-maranhao,ma,Brasil
1624º,São José do Vale do Rio Preto,Rio de Janeiro,22 032,sao-jose-do-vale-do-rio-preto,rj,Brasil
1625º,Lucélia,São Paulo,22 022,lucelia,sp,Brasil
1626º,Itatira,Ceará,22 018,itatira,ce,Brasil
1627º,Anori,Amazonas,21 937,anori,am,Brasil
1628º,Colônia Leopoldina,Alagoas,21 935,colonia-leopoldina,al,Brasil
1629º,Chã Grande,Pernambuco,21 929,cha-grande,pe,Brasil
1630º,Mari,Paraíba,21 895,mari,pb,Brasil
1631º,Itaiópolis,Santa Catarina,21 889,itaiopolis,sc,Brasil
1632º,Nova Granada,São Paulo,21 871,nova-granada,sp,Brasil
1633º,São Francisco de Paula,Rio Grande do Sul,21 871,sao-francisco-de-paula,rs,Brasil
1634º,São José da Coroa Grande,Pernambuco,21 868,sao-jose-da-coroa-grande,pe,Brasil
1635º,São Miguel do Araguaia,Goiás,21 849,sao-miguel-do-araguaia,go,Brasil
1636º,Palmas de Monte Alto,Bahia,21 840,palmas-de-monte-alto,ba,Brasil
1637º,Camanducaia,Minas Gerais,21 831,camanducaia,mg,Brasil
1638º,Santa Bárbara do Pará,Pará,21 811,santa-barbara-do-para,pa,Brasil
1639º,Oliveira dos Brejinhos,Bahia,21 797,oliveira-dos-brejinhos,ba,Brasil
1640º,Aquidabã,Sergipe,21 796,aquidaba,se,Brasil
1641º,Ortigueira,Paraná,21 783,ortigueira,pr,Brasil
1642º,Vargem Alta,Espírito Santo,21 778,vargem-alta,es,Brasil
1643º,Paramirim,Bahia,21 777,paramirim,ba,Brasil
1644º,Silva Jardim,Rio de Janeiro,21 775,silva-jardim,rj,Brasil
1645º,Maracaçumé,Maranhão,21 773,maracacume,ma,Brasil
1646º,Itapoá,Santa Catarina,21 766,itapoa,sc,Brasil
1647º,Itapecerica,Minas Gerais,21 760,itapecerica,mg,Brasil
1648º,São Marcos,Rio Grande do Sul,21 756,sao-marcos,rs,Brasil
1649º,Madre de Deus,Bahia,21 754,madre-de-deus,ba,Brasil
1650º,Uruçuí,Piauí,21 746,urucui,pi,Brasil
1651º,Nova Petrópolis,Rio Grande do Sul,21 717,nova-petropolis,rs,Brasil
1652º,Engenheiro Coelho,São Paulo,21 712,engenheiro-coelho,sp,Brasil
1653º,Nhamundá,Amazonas,21 710,nhamunda,am,Brasil
1654º,Araripe,Ceará,21 707,araripe,ce,Brasil
1655º,Nova Xavantina,Mato Grosso,21 695,nova-xavantina,mt,Brasil
1656º,Paraguaçu,Minas Gerais,21 693,paraguacu,mg,Brasil
1657º,Olho d'Água das Flores,Alagoas,21 690,olho-d'agua-das-flores,al,Brasil
1658º,Parelhas,Rio Grande do Norte,21 611,parelhas,rn,Brasil
1659º,Itaquiraí,Mato Grosso do Sul,21 604,itaquirai,ms,Brasil
1660º,Rolante,Rio Grande do Sul,21 591,rolante,rs,Brasil
1661º,Perdões,Minas Gerais,21 577,perdoes,mg,Brasil
1662º,Paraibano,Maranhão,21 571,paraibano,ma,Brasil
1663º,Caxambu,Minas Gerais,21 566,caxambu,mg,Brasil
1664º,Castilho,São Paulo,21 521,castilho,sp,Brasil
1665º,Nova Esperança do Piriá,Pará,21 519,nova-esperanca-do-piria,pa,Brasil
1666º,Monte Santo de Minas,Minas Gerais,21 504,monte-santo-de-minas,mg,Brasil
1667º,Lagoa de Itaenga,Pernambuco,21 490,lagoa-de-itaenga,pe,Brasil
1668º,Boquira,Bahia,21 486,boquira,ba,Brasil
1669º,Siqueira Campos,Paraná,21 476,siqueira-campos,pr,Brasil
1670º,Costa Rica,Mato Grosso do Sul,21 456,costa-rica,ms,Brasil
1671º,São Joaquim do Monte,Pernambuco,21 439,sao-joaquim-do-monte,pe,Brasil
1672º,Taperoá,Bahia,21 421,taperoa,ba,Brasil
1673º,Urussanga,Santa Catarina,21 419,urussanga,sc,Brasil
1674º,Cajueiro,Alagoas,21 397,cajueiro,al,Brasil
1675º,Guará,São Paulo,21 394,guara,sp,Brasil
1676º,Buritirama,Bahia,21 374,buritirama,ba,Brasil
1677º,Cunha,São Paulo,21 373,cunha,sp,Brasil
1678º,Paraisópolis,Minas Gerais,21 353,paraisopolis,mg,Brasil
1679º,São José do Rio Claro,Mato Grosso,21 351,sao-jose-do-rio-claro,mt,Brasil
1680º,Monte Alegre de Minas,Minas Gerais,21 349,monte-alegre-de-minas,mg,Brasil
1681º,Orós,Ceará,21 342,oros,ce,Brasil
1682º,Canto do Buriti,Piauí,21 326,canto-do-buriti,pi,Brasil
1683º,São Simão,Goiás,21 318,sao-simao,go,Brasil
1684º,Bequimão,Maranhão,21 317,bequimao,ma,Brasil
1685º,Carmo do Rio Claro,Minas Gerais,21 310,carmo-do-rio-claro,mg,Brasil
1686º,Jandaia do Sul,Paraná,21 281,jandaia-do-sul,pr,Brasil
1687º,Pio XII,Maranhão,21 274,pio-xii,ma,Brasil
1688º,Capela do Alto,São Paulo,21 257,capela-do-alto,sp,Brasil
1689º,Comodoro,Mato Grosso,21 249,comodoro,mt,Brasil
1690º,Quiterianópolis,Ceará,21 246,quiterianopolis,ce,Brasil
1691º,Anagé,Bahia,21 229,anage,ba,Brasil
1692º,Nova Olinda do Maranhão,Maranhão,21 228,nova-olinda-do-maranhao,ma,Brasil
1693º,Bananeiras,Paraíba,21 220,bananeiras,pb,Brasil
1694º,Crisópolis,Bahia,21 219,crisopolis,ba,Brasil
1695º,Vertentes,Pernambuco,21 172,vertentes,pe,Brasil
1696º,Itatinga,São Paulo,21 139,itatinga,sp,Brasil
1697º,Arroio do Meio,Rio Grande do Sul,21 121,arroio-do-meio,rs,Brasil
1698º,Pinhalzinho,Santa Catarina,21 103,pinhalzinho,sc,Brasil
1699º,Paulo Ramos,Maranhão,21 092,paulo-ramos,ma,Brasil
1700º,São Francisco do Guaporé,Rondônia,21 088,sao-francisco-do-guapore,ro,Brasil
1701º,Ibicaraí,Bahia,21 083,ibicarai,ba,Brasil
1702º,São Felipe,Bahia,21 083,sao-felipe,ba,Brasil
1703º,Campestre,Minas Gerais,21 052,campestre,mg,Brasil
1704º,Mirador,Maranhão,21 045,mirador,ma,Brasil
1705º,Catarina,Ceará,21 041,catarina,ce,Brasil
1706º,Itaobim,Minas Gerais,20 997,itaobim,mg,Brasil
1707º,Lambari,Minas Gerais,20 995,lambari,mg,Brasil
1708º,Alagoa Nova,Paraíba,20 992,alagoa-nova,pb,Brasil
1709º,Barroso,Minas Gerais,20 981,barroso,mg,Brasil
1710º,Junqueirópolis,São Paulo,20 978,junqueiropolis,sp,Brasil
1711º,Santa Bárbara,Bahia,20 971,santa-barbara,ba,Brasil
1712º,Pindoretama,Ceará,20 964,pindoretama,ce,Brasil
1713º,Butiá,Rio Grande do Sul,20 963,butia,rs,Brasil
1714º,Cruzeiro do Oeste,Paraná,20 962,cruzeiro-do-oeste,pr,Brasil
1715º,Bastos,São Paulo,20 952,bastos,sp,Brasil
1716º,Valença do Piauí,Piauí,20 940,valenca-do-piaui,pi,Brasil
1717º,Silvânia,Goiás,20 938,silvania,go,Brasil
1718º,Araçoiaba,Pernambuco,20 936,aracoiaba,pe,Brasil
1719º,Serro,Minas Gerais,20 915,serro,mg,Brasil
1720º,Santo Antônio do Içá,Amazonas,20 889,santo-antonio-do-ica,am,Brasil
1721º,Bombinhas,Santa Catarina,20 889,bombinhas,sc,Brasil
1722º,Abadiânia,Goiás,20 873,abadiania,go,Brasil
1723º,Atalaia do Norte,Amazonas,20 868,atalaia-do-norte,am,Brasil
1724º,Wenceslau Guimarães,Bahia,20 862,wenceslau-guimaraes,ba,Brasil
1725º,Santo Anastácio,São Paulo,20 855,santo-anastacio,sp,Brasil
1726º,Nova Olímpia,Mato Grosso,20 820,nova-olimpia,mt,Brasil
1727º,Ubiratã,Paraná,20 809,ubirata,pr,Brasil
1728º,Governador Mangabeira,Bahia,20 800,governador-mangabeira,ba,Brasil
1729º,Cocalzinho de Goiás,Goiás,20 771,cocalzinho-de-goias,go,Brasil
1730º,Envira,Amazonas,20 748,envira,am,Brasil
1731º,Riacho das Almas,Pernambuco,20 744,riacho-das-almas,pe,Brasil
1732º,Piratini,Rio Grande do Sul,20 743,piratini,rs,Brasil
1733º,Floresta do Araguaia,Pará,20 742,floresta-do-araguaia,pa,Brasil
1734º,São João Batista,Maranhão,20 736,sao-joao-batista,ma,Brasil
1735º,Belém do São Francisco,Pernambuco,20 730,belem-do-sao-francisco,pe,Brasil
1736º,São João do Piauí,Piauí,20 720,sao-joao-do-piaui,pi,Brasil
1737º,Cotriguaçu,Mato Grosso,20 717,cotriguacu,mt,Brasil
1738º,Medina,Minas Gerais,20 701,medina,mg,Brasil
1739º,Vazante,Minas Gerais,20 692,vazante,mg,Brasil
1740º,Tibagi,Paraná,20 688,tibagi,pr,Brasil
1741º,Jaboticatubas,Minas Gerais,20 683,jaboticatubas,mg,Brasil
1742º,Maraú,Bahia,20 664,marau,ba,Brasil
1743º,Itapiúna,Ceará,20 653,itapiuna,ce,Brasil
1744º,Cachoeirinha,Pernambuco,20 618,cachoeirinha,pe,Brasil
1745º,Araruna,Paraíba,20 610,araruna,pb,Brasil
1746º,Abaré,Bahia,20 594,abare,ba,Brasil
1747º,Caraúbas,Rio Grande do Norte,20 588,caraubas,rn,Brasil
1748º,Paranapanema,São Paulo,20 588,paranapanema,sp,Brasil
1749º,Paulistana,Piauí,20 583,paulistana,pi,Brasil
1750º,Brasnorte,Mato Grosso,20 571,brasnorte,mt,Brasil
1751º,Guaratinga,Bahia,20 565,guaratinga,ba,Brasil
1752º,Jaguaruna,Santa Catarina,20 547,jaguaruna,sc,Brasil
1753º,Monte Azul,Minas Gerais,20 544,monte-azul,mg,Brasil
1754º,Regente Feijó,São Paulo,20 523,regente-feijo,sp,Brasil
1755º,Muzambinho,Minas Gerais,20 522,muzambinho,mg,Brasil
1756º,Nova Brasilândia d'Oeste,Rondônia,20 504,nova-brasilandia-d'oeste,ro,Brasil
1757º,Beruri,Amazonas,20 503,beruri,am,Brasil
1758º,Ibirubá,Rio Grande do Sul,20 474,ibiruba,rs,Brasil
1759º,Baixa Grande,Bahia,20 431,baixa-grande,ba,Brasil
1760º,Coronel Vivida,Paraná,20 430,coronel-vivida,pr,Brasil
1761º,Aragarças,Goiás,20 410,aragarcas,go,Brasil
1762º,São José de Piranhas,Paraíba,20 406,sao-jose-de-piranhas,pb,Brasil
1763º,Novo Airão,Amazonas,20 395,novo-airao,am,Brasil
1764º,Itororó,Bahia,20 394,itororo,ba,Brasil
1765º,Cerqueira César,São Paulo,20 391,cerqueira-cesar,sp,Brasil
1766º,Tanhaçu,Bahia,20 383,tanhacu,ba,Brasil
1767º,Cândido Mendes,Maranhão,20 376,candido-mendes,ma,Brasil
1768º,Santo Antônio do Sudoeste,Paraná,20 354,santo-antonio-do-sudoeste,pr,Brasil
1769º,Jijoca de Jericoacoara,Ceará,20 351,jijoca-de-jericoacoara,ce,Brasil
1770º,Padre Paraíso,Minas Gerais,20 346,padre-paraiso,mg,Brasil
1771º,Cuité,Paraíba,20 331,cuite,pb,Brasil
1772º,Uruçuca,Bahia,20 312,urucuca,ba,Brasil
1773º,Itajuípe,Bahia,20 309,itajuipe,ba,Brasil
1774º,Riachão,Maranhão,20 288,riachao,ma,Brasil
1775º,Chorozinho,Ceará,20 286,chorozinho,ce,Brasil
1776º,Turmalina,Minas Gerais,20 280,turmalina,mg,Brasil
1777º,Água Branca,Alagoas,20 263,agua-branca,al,Brasil
1778º,Porto Real,Rio de Janeiro,20 254,porto-real,rj,Brasil
1779º,Magalhães de Almeida,Maranhão,20 228,magalhaes-de-almeida,ma,Brasil
1780º,Barra da Estiva,Bahia,20 198,barra-da-estiva,ba,Brasil
1781º,Icapuí,Ceará,20 183,icapui,ce,Brasil
1782º,Cantagalo,Rio de Janeiro,20 163,cantagalo,rj,Brasil
1783º,Taquarana,Alagoas,20 162,taquarana,al,Brasil
1784º,Porto Real do Colégio,Alagoas,20 158,porto-real-do-colegio,al,Brasil
1785º,Sonora,Mato Grosso do Sul,20 158,sonora,ms,Brasil
1786º,Plácido de Castro,Acre,20 147,placido-de-castro,ac,Brasil
1787º,Ipanema,Minas Gerais,20 133,ipanema,mg,Brasil
1788º,Hidrolândia,Ceará,20 126,hidrolandia,ce,Brasil
1789º,Campos Belos,Goiás,20 124,campos-belos,go,Brasil
1790º,Pacaraima,Roraima,20 108,pacaraima,rr,Brasil
1791º,Alpinópolis,Minas Gerais,20 059,alpinopolis,mg,Brasil
1792º,Salgado,Sergipe,20 051,salgado,se,Brasil
1793º,Buri,São Paulo,20 050,buri,sp,Brasil
1794º,Capoeiras,Pernambuco,20 048,capoeiras,pe,Brasil
1795º,Pindobaçu,Bahia,20 048,pindobacu,ba,Brasil
1796º,Boa Vista do Ramos,Amazonas,20 040,boa-vista-do-ramos,am,Brasil
1797º,Madalena,Ceará,20 031,madalena,ce,Brasil
1798º,Rio Verde de Mato Grosso,Mato Grosso do Sul,20 025,rio-verde-de-mato-grosso,ms,Brasil
1799º,Divino,Minas Gerais,20 020,divino,mg,Brasil
1800º,Rubiataba,Goiás,20 012,rubiataba,go,Brasil
1801º,Santa Vitória,Minas Gerais,19 997,santa-vitoria,mg,Brasil
1802º,Ibicoara,Bahia,19 990,ibicoara,ba,Brasil
1803º,Afrânio,Pernambuco,19 981,afranio,pe,Brasil
1804º,Umirim,Ceará,19 976,umirim,ce,Brasil
1805º,Remígio,Paraíba,19 973,remigio,pb,Brasil
1806º,Maracás,Bahia,19 973,maracas,ba,Brasil
1807º,Itarantim,Bahia,19 937,itarantim,ba,Brasil
1808º,Major Izidoro,Alagoas,19 923,major-izidoro,al,Brasil
1809º,Lajinha,Minas Gerais,19 914,lajinha,mg,Brasil
1810º,Xapuri,Acre,19 866,xapuri,ac,Brasil
1811º,Alhandra,Paraíba,19 865,alhandra,pb,Brasil
1812º,Ubaíra,Bahia,19 860,ubaira,ba,Brasil
1813º,Palmeirândia,Maranhão,19 840,palmeirandia,ma,Brasil
1814º,Santa Luzia do Pará,Pará,19 839,santa-luzia-do-para,pa,Brasil
1815º,Simonésia,Minas Gerais,19 834,simonesia,mg,Brasil
1816º,Buriti dos Lopes,Piauí,19 832,buriti-dos-lopes,pi,Brasil
1817º,Andirá,Paraná,19 823,andira,pr,Brasil
1818º,Riachão do Dantas,Sergipe,19 813,riachao-do-dantas,se,Brasil
1819º,Borda da Mata,Minas Gerais,19 809,borda-da-mata,mg,Brasil
1820º,Pariquera-Açu,São Paulo,19 797,pariquera-acu,sp,Brasil
1821º,Rodrigues Alves,Acre,19 767,rodrigues-alves,ac,Brasil
1822º,Campina Verde,Minas Gerais,19 759,campina-verde,mg,Brasil
1823º,Carmópolis de Minas,Minas Gerais,19 756,carmopolis-de-minas,mg,Brasil
1824º,Marechal Thaumaturgo,Acre,19 727,marechal-thaumaturgo,ac,Brasil
1825º,Castelo do Piauí,Piauí,19 716,castelo-do-piaui,pi,Brasil
1826º,Alto Araguaia,Mato Grosso,19 714,alto-araguaia,mt,Brasil
1827º,Morros,Maranhão,19 708,morros,ma,Brasil
1828º,Pastos Bons,Maranhão,19 693,pastos-bons,ma,Brasil
1829º,Presidente Olegário,Minas Gerais,19 680,presidente-olegario,mg,Brasil
1830º,Carnaíba,Pernambuco,19 666,carnaiba,pe,Brasil
1831º,Antas,Bahia,19 659,antas,ba,Brasil
1832º,Mâncio Lima,Acre,19 643,mancio-lima,ac,Brasil
1833º,Pauini,Amazonas,19 616,pauini,am,Brasil
1834º,Olho d'Água das Cunhãs,Maranhão,19 616,olho-d'agua-das-cunhas,ma,Brasil
1835º,Umburanas,Bahia,19 573,umburanas,ba,Brasil
1836º,Tejuçuoca,Ceará,19 551,tejucuoca,ce,Brasil
1837º,Cajari,Maranhão,19 521,cajari,ma,Brasil
1838º,Papanduva,Santa Catarina,19 521,papanduva,sc,Brasil
1839º,Miracatu,São Paulo,19 511,miracatu,sp,Brasil
1840º,Pitimbu,Paraíba,19 478,pitimbu,pb,Brasil
1841º,Ampére,Paraná,19 466,ampere,pr,Brasil
1842º,Três Barras,Santa Catarina,19 455,tres-barras,sc,Brasil
1843º,Pirapora do Bom Jesus,São Paulo,19 453,pirapora-do-bom-jesus,sp,Brasil
1844º,Horizontina,Rio Grande do Sul,19 446,horizontina,rs,Brasil
1845º,Sengés,Paraná,19 441,senges,pr,Brasil
1846º,Formosa da Serra Negra,Maranhão,19 425,formosa-da-serra-negra,ma,Brasil
1847º,Rio Bananal,Espírito Santo,19 398,rio-bananal,es,Brasil
1848º,Quitandinha,Paraná,19 388,quitandinha,pr,Brasil
1849º,Wenceslau Braz,Paraná,19 358,wenceslau-braz,pr,Brasil
1850º,Trairão,Pará,19 344,trairao,pa,Brasil
1851º,Farias Brito,Ceará,19 330,farias-brito,ce,Brasil
1852º,Utinga,Bahia,19 330,utinga,ba,Brasil
1853º,Caiapônia,Goiás,19 304,caiaponia,go,Brasil
1854º,Varzelândia,Minas Gerais,19 290,varzelandia,mg,Brasil
1855º,Águas Formosas,Minas Gerais,19 285,aguas-formosas,mg,Brasil
1856º,Iati,Pernambuco,19 284,iati,pe,Brasil
1857º,Cantá,Roraima,19 257,canta,rr,Brasil
1858º,Costa Marques,Rondônia,19 255,costa-marques,ro,Brasil
1859º,Passagem Franca,Maranhão,19 253,passagem-franca,ma,Brasil
1860º,Baependi,Minas Gerais,19 249,baependi,mg,Brasil
1861º,Dormentes,Pernambuco,19 246,dormentes,pe,Brasil
1862º,Guareí,São Paulo,19 244,guarei,sp,Brasil
1863º,Ibirama,Santa Catarina,19 238,ibirama,sc,Brasil
1864º,Jaicós,Piauí,19 233,jaicos,pi,Brasil
1865º,Itanhém,Bahia,19 231,itanhem,ba,Brasil
1866º,Serrita,Pernambuco,19 226,serrita,pe,Brasil
1867º,Presidente Sarney,Maranhão,19 217,presidente-sarney,ma,Brasil
1868º,Otacílio Costa,Santa Catarina,19 201,otacilio-costa,sc,Brasil
1869º,Capanema,Paraná,19 172,capanema,pr,Brasil
1870º,Jaguaripe,Bahia,19 162,jaguaripe,ba,Brasil
1871º,Carmo,Rio de Janeiro,19 161,carmo,rj,Brasil
1872º,Júlio de Castilhos,Rio Grande do Sul,19 159,julio-de-castilhos,rs,Brasil
1873º,Fátima do Sul,Mato Grosso do Sul,19 152,fatima-do-sul,ms,Brasil
1874º,Porto Acre,Acre,19 141,porto-acre,ac,Brasil
1875º,Viradouro,São Paulo,19 133,viradouro,sp,Brasil
1876º,Matipó,Minas Gerais,19 098,matipo,mg,Brasil
1877º,Ituaçu,Bahia,19 095,ituacu,ba,Brasil
1878º,São Raimundo das Mangabeiras,Maranhão,19 090,sao-raimundo-das-mangabeiras,ma,Brasil
1879º,Chopinzinho,Paraná,19 083,chopinzinho,pr,Brasil
1880º,Contenda,Paraná,19 082,contenda,pr,Brasil
1881º,Aroeiras,Paraíba,19 081,aroeiras,pb,Brasil
1882º,Porciúncula,Rio de Janeiro,19 068,porciuncula,rj,Brasil
1883º,Japaratuba,Sergipe,19 067,japaratuba,se,Brasil
1884º,Terra Santa,Pará,19 063,terra-santa,pa,Brasil
1885º,Macarani,Bahia,19 056,macarani,ba,Brasil
1886º,Tonantins,Amazonas,19 038,tonantins,am,Brasil
1887º,Camocim de São Félix,Pernambuco,19 032,camocim-de-sao-felix,pe,Brasil
1888º,Caconde,São Paulo,19 031,caconde,sp,Brasil
1889º,Conceição,Paraíba,19 030,conceicao,pb,Brasil
1890º,Barão de Grajaú,Maranhão,19 026,barao-de-grajau,ma,Brasil
1891º,Ervália,Minas Gerais,19 019,ervalia,mg,Brasil
1892º,Guaranésia,Minas Gerais,19 014,guaranesia,mg,Brasil
1893º,Cabaceiras do Paraguaçu,Bahia,19 010,cabaceiras-do-paraguacu,ba,Brasil
1894º,Epitaciolândia,Acre,18 979,epitaciolandia,ac,Brasil
1895º,Itapororoca,Paraíba,18 978,itapororoca,pb,Brasil
1896º,Montanha,Espírito Santo,18 954,montanha,es,Brasil
1897º,Monte Azul Paulista,São Paulo,18 928,monte-azul-paulista,sp,Brasil
1898º,Ipaba,Minas Gerais,18 926,ipaba,mg,Brasil
1899º,Antonina,Paraná,18 919,antonina,pr,Brasil
1900º,Águas de Lindóia,São Paulo,18 908,aguas-de-lindoia,sp,Brasil
1901º,Alumínio,São Paulo,18 903,aluminio,sp,Brasil
1902º,Ribeirópolis,Sergipe,18 891,ribeiropolis,se,Brasil
1903º,Augustinópolis,Tocantins,18 870,augustinopolis,to,Brasil
1904º,Fronteira,Minas Gerais,18 866,fronteira,mg,Brasil
1905º,Nazaré Paulista,São Paulo,18 866,nazare-paulista,sp,Brasil
1906º,Pocinhos,Paraíba,18 848,pocinhos,pb,Brasil
1907º,Venturosa,Pernambuco,18 835,venturosa,pe,Brasil
1908º,Cocos,Bahia,18 835,cocos,ba,Brasil
1909º,Areia Branca,Sergipe,18 825,areia-branca,se,Brasil
1910º,Garuva,Santa Catarina,18 816,garuva,sc,Brasil
1911º,Pirapemas,Maranhão,18 814,pirapemas,ma,Brasil
1912º,São José dos Quatro Marcos,Mato Grosso,18 788,sao-jose-dos-quatro-marcos,mt,Brasil
1913º,São Gabriel,Bahia,18 785,sao-gabriel,ba,Brasil
1914º,Cafelândia,Paraná,18 783,cafelandia,pr,Brasil
1915º,Cruz Machado,Paraná,18 772,cruz-machado,pr,Brasil
1916º,São Benedito do Rio Preto,Maranhão,18 769,sao-benedito-do-rio-preto,ma,Brasil
1917º,São João do Soter,Maranhão,18 746,sao-joao-do-soter,ma,Brasil
1918º,Governador Edison Lobão,Maranhão,18 740,governador-edison-lobao,ma,Brasil
1919º,Picuí,Paraíba,18 737,picui,pb,Brasil
1920º,Bacuri,Maranhão,18 726,bacuri,ma,Brasil
1921º,Cariús,Ceará,18 700,carius,ce,Brasil
1922º,Santo Antônio do Amparo,Minas Gerais,18 697,santo-antonio-do-amparo,mg,Brasil
1923º,Neópolis,Sergipe,18 688,neopolis,se,Brasil
1924º,Mendes,Rio de Janeiro,18 681,mendes,rj,Brasil
1925º,Rio Claro,Rio de Janeiro,18 677,rio-claro,rj,Brasil
1926º,Cairu,Bahia,18 666,cairu,ba,Brasil
1927º,Ubaitaba,Bahia,18 647,ubaitaba,ba,Brasil
1928º,Juquiá,São Paulo,18 627,juquia,sp,Brasil
1929º,Itirapina,São Paulo,18 610,itirapina,sp,Brasil
1930º,Mirangaba,Bahia,18 603,mirangaba,ba,Brasil
1931º,Colina,São Paulo,18 601,colina,sp,Brasil
1932º,São Luís Gonzaga do Maranhão,Maranhão,18 600,sao-luis-gonzaga-do-maranhao,ma,Brasil
1933º,Cesário Lange,São Paulo,18 595,cesario-lange,sp,Brasil
1934º,Cafarnaum,Bahia,18 585,cafarnaum,ba,Brasil
1935º,Mundo Novo,Mato Grosso do Sul,18 578,mundo-novo,ms,Brasil
1936º,Taió,Santa Catarina,18 576,taio,sc,Brasil
1937º,Malacacheta,Minas Gerais,18 556,malacacheta,mg,Brasil
1938º,Mairi,Bahia,18 535,mairi,ba,Brasil
1939º,Varjota,Ceará,18 520,varjota,ce,Brasil
1940º,Carlos Chagas,Minas Gerais,18 516,carlos-chagas,mg,Brasil
1941º,Pio IX,Piauí,18 492,pio-ix,pi,Brasil
1942º,Boa Vista do Tupim,Bahia,18 491,boa-vista-do-tupim,ba,Brasil
1943º,Mucajaí,Roraima,18 482,mucajai,rr,Brasil
1944º,Cariré,Ceará,18 470,carire,ce,Brasil
1945º,Batalha,Alagoas,18 440,batalha,al,Brasil
1946º,Lagoa do Carro,Pernambuco,18 429,lagoa-do-carro,pe,Brasil
1947º,Juazeirinho,Paraíba,18 422,juazeirinho,pb,Brasil
1948º,Ibipeba,Bahia,18 421,ibipeba,ba,Brasil
1949º,Mirante do Paranapanema,São Paulo,18 415,mirante-do-paranapanema,sp,Brasil
1950º,Inhapi,Alagoas,18 398,inhapi,al,Brasil
1951º,Solonópole,Ceará,18 389,solonopole,ce,Brasil
1952º,Querência,Mato Grosso,18 386,querencia,mt,Brasil
